racedate,racecoursecode,racedistance,raceclass,finish,sec1,sec2,sec3,sec4,sec5,sec6
"20150906", "ST", "1000", "Group", 55.90,13.15,20.60,22.15,,,
"20150906", "ST", "1000", "Class 1",56.0,13.15,20.45,22.40,,, 
"20150906", "ST", "1000", "Class 2",56.15,13,15,20.70,22.60,,, 
"20150906", "ST", "1000", "Class 3",56.45,13.15,20.70,22.60,,, 
"20150906", "ST", "1000", "Class 4",56.65,13.20,20.8,22.65,,, 
"20150906", "ST", "1000", "Class 5",56.95,13.25,20.85,22.85,,,
"20150906", "ST", "1000", "Griffin", 57.0,13.30,21.05,22.65,,,
"20150906", "ST", "1200", "Group",68.75,23.7,22.45,22.60,,, 
"20150906", "ST", "1200", "Class 1",68.90, 23.7,22.45,22.6,,,
"20150906", "ST", "1200", "Class 2",69.15,23.9,22.55,22.70,,, 
"20150906", "ST", "1200", "Class 3",69.40,23.9,22.7,22.8,,,
"20150906", "ST", "1200", "Class 4",69.60,23.9,22.8,22.9,,,
"20150906", "ST", "1200", "Class 5",69.9,23.9,22.7,23.3,,,
"20150906", "ST", "1200", "Griffin",70.15,24.25,23.15,22.75,,,
"20150906", "ST", "1400", "Group",81.10,13,4,21.9,23.05,22.75,, 
"20150906", "ST", "1400", "Class 1",81.55,13.5,21.9,23.30,22.85,,
"20150906", "ST", "1400", "Class 2",81.80,13.55,22.00,23.25,23.0,, 
"20150906", "ST", "1400", "Class 3",82.20,13.55,21.95,23.55,23.15,,
"20150906", "ST", "1400", "Class 4",82.50,13.55,22.0,23.65,23.30,,
"20150906", "ST", "1400", "Class 5",82.80,13.65,22.0,23.65,23.50,,
"20150906", "ST", "1400", "Griffin",83.05,13.60,22.65,23.90,22.90,,
"20150906", "ST", "1600", "Group",93.55,24.65,22.85,23.25,22.80,, 
"20150906", "ST", "1600", "Class 1",94.35,24.70,23.30,23.55,22.80,,
"20150906", "ST", "1600", "Class 2",94.75,24.70,23.35,23.85,22.85,, 
"20150906", "ST", "1600", "Class 3",95.05,24.7,23.35,23.95,23.05,,
"20150906", "ST", "1600", "Class 4",95.45,24.75,23.35,24.00,23.35,,
"20150906", "ST", "1600", "Class 5",95.65,24.75,23.20,24.15,23.55,,
"20150906", "ST", "1800", "Group",107.75,13.95,22.7,24.25,24.05,22.80, 
"20150906", "ST", "1800", "Class 1",108.05,14.0,,22.65,24.30,24.05,23.05,
"20150906", "ST", "1800", "Class 2",108.30,14.05,22.75,24.10,24.05,23.05, 
"20150906", "ST", "1800", "Class 3",108.45,14.05,22.65,24.10,24.20,23.45,
"20150906", "ST", "1800", "Class 4",108.85,14.05,22.7,24.25,24.3,23.55,
"20150906", "ST", "1800", "Class 5",109.05,14.05,22.65,24.35,24.45,23.55,
"20150906", "ST", "2000", "Group", 121.85,25.95,24.90,24.90,23.50,22.60,
"20150906", "ST", "2000", "Class 1",122.60,26.0,24.65,25.15,23.85,22.95,
"20150906", "ST", "2000", "Class 2",122.80,25.95,25.05,25.30,23.55,22.95, 
"20150906", "ST", "2000", "Class 3",123.00,25.65,24.85,25.20,24.00,23.30,
"20150906", "ST", "2000", "Class 4",123.75,25.90,24.80.25.20,24.40,23.45,
"20150906", "ST", "2000", "Class 5",123.95,26.45,24.60,24.70,24.20,24.00,
"20150906", "ST", "2200", "Class 2",135.95,14.2,23.7,25.65,25.65,23.7,23.05 
"20150906", "ST", "2200", "Class 3",136.4,14.45,23.9,25.25,25.9,23.75,23.15
"20150906", "ST", "2200", "Class 4",137.00,13.8,23.45,26.20,25.45,24.30,23.80
"20150906", "ST", "2200", "Class 5",137.55,14.4,25.5,25.65,23.7,24,45,23.85
"20150906", "ST", "2400", "Group",148.05,25.6,24.7,25.95,25.45,23.55,22.8 
